,code,img_text
0,100619,"系
36
cici8
hanbjälܠܬSenbyulܐܐܐܐܐSp
బ్యాత
1985
senbjälgos
soy
f
StaSerbfal
+80008.
srez
pevs
BSust
Jes
8000!
బాబ్MON
MICHAJNAGARLLES
HAR
9W
C
•M.M.
ALLAMONGANNOU
sentyütO心,
genbyul.1.5cm
3.6cml
2.2cm
1.7cm
0.3cm
0.8cm
-
0.5cm6
2
新
jengyulrappy
卡
美
ugbbna
是
happy
**
O
孟
76las
Гарри
happy
idde
HS
yo
ug bb j*
Senboralക
Ge
NGpaleparty
२०७
engine"
1,100967,"U人
#하여서
실현성을 꿈꾸는 몽상가
#he_an
보헤미안이 되고싶은
완벽주의자생각을 멈추어야 할 때
#
감성
싸이코
아무래도
익숙한 어른이 되어버릴까 무서웠다.
4
걷다가, 뛰다가
웃다가, 울다가
사람이다. 너는 .
기뻤다가, 슬펐다가
그러다가
지치다가, 나아가다가
요구르트 세 줄을 살 수 있는 어른
미완의 우리
WOR버티는 하루들이 싫다.
그렇게 힘겹게 버티는 하루들이
쌓이고 쌓여서 세월이 될텐데
나는 하루를 사는 사람이 아닌
버틴 사람이 되어버리는 것 같아서
내 인생은 인내로 가득할 것 같아서
나는 오늘 하루도 무사히 버티라는
그 말이 싫다.
뒤를 돌아보다 마주친 건
까만 그림자
아무도 돌아봐주는 이 없어서
내가 뒤돌아보았지.
우두커니 혼자 서 있는 내 그림자가 가여워
손을 내밀어 잡는 밤이 길다.
R
*0.0버티는 하루들이 싫다.
그렇게 힘겹게 버티는 하루들이
쌓이고 쌓여서 세월이 될텐데
나는 하루를 사는 사람이 아닌
버틴 사람이 되어버리는 것 같아서
내 인생은 인내로 가득할 것 같아서
나는 오늘 하루도 무사히 버티라는
그 말이 싫다.
버티는 하루들이 싫다.
그렇게 힘겹게 버티는 하루들이
쌓이고 쌓여서 세월이 될텐데
나는 하루를 사는 사람이 아닌
버틴 사람이 되어버리는 것 같아서
내 인생은 인내로 가득할 것 같아서
나는 오늘 하루도 무사히 버티라는
그 말이 싫다.뒤를 돌아보다 마주친 건
까만 그림자
