,code,img_text
0,1031,"모금
지출
순번
1
와디즈 모금
2
와디즈 수수료
2 오프라인 후원
3 소꽃이 활동비 지원
합계
내용
순번 내용
1 | 스카프
2 액자(4절) 25,000
합계
모금액
90,000
4,500
20,000
78,500
184,000
단가 수량
소계
10,900 10 109,000
3 75,000
184,000일본군 '위안부' 피해자 할머니들께 응원과 선물을 드리겠습니다.
지난 해 말, 나눔의 집에 거주하시는 할머니들을 방문하였을 때 꼭 다시 찾아 뵙겠다고
했던 약속을 지키려 합니다. 이번에는 나눔의 집을 포함해 현재 국내/외에 생존해 계신
일본군 '위안부' 피해자 할머니 53분 모두에게 스카프 선물과 시민들의 응원 메시지
액자를 전해드리고자 합니다.
올해 안에 직접적인 방문을 하거나, 만일 힘들다면 관련단체를 통한 간접적인 방법을
통해서라도 한 분 한 분께 마음을 전하고 또 그분들이 세상에 알리고자 하는 이야기를
여러분께 전해드릴 것입니다.
고령의 나이와 건강문제로 인해 외출이 힘든 할머니들께 실내나 가까운 동네에서
간단히 멋을 내고, 이뻐보일 수 있으면 좋겠다는 생각에 스카프를 선물로 정했습니다.
스카프를 매실 때마다 많은 분들이 응원하고 있음에 힘을 얻으시길 바라고 또 순수하고
설렜던 소녀시절의 마음을 다시 느낄 수 있도록 하고 싶습니다.
1945년 광복 이후 70년이 흘렀고, 1992년 1월에 시작한 수요집회가 지난 4월 15일에
1174차를 맞이했습니다. 할머니들께서는 일본 대사관 앞에서 23년 동안 왜곡된 시선과
상처를 무릎 쓰고, 진실을 알리고 문제 해결을 위해 나오고 계십니다. 하지만 일본 정부는
아직까지도 사죄와 배상을 제대로 하지 않았습니다. 이 문제 해결을 위해 노력하고 있는
많은 단체가 있고, 소꽃이도 말로 표현할 수 없을 만큼 아프고 힘드셨을 할머니들께
작지만 힘을 더 보태고 싶습니다.일본군 '위안부' 에 관심을 가져야 하는 이유
""I apologize in advance if my question comes off as provocative, but it has to do
with a topic that weighs heavily on my heart, …… In the face of much evidence,
do you still deny the Japanese government's explicit involvement in the subjuga-
tion of hundreds of thousands of women into coerced sexual slavery?""
“우선 도발적인 질문이 될 수 있어서 죄송합니다. 하지만 제 가슴에 무겁게 자리한
주제라서 질문을 드려야겠습니다. (중략) 많은 증거에도 불구하고, 당신은 수백 수천명의
여성들에 대한 강압에 의한 성노예로 예속시킨 것에 일본 정부가 명백한 관련이 있다는
것을 아직도 부인하십니까?""
4월 27일, 아베 일본 총리의 하버드 대학교 연설에서, 조셉 최(20)라는 하버드 대학생이
아베에게 던진 질문입니다. 이 학생은 한국계 이민자 2세입니다. 한국 국적을 갖고
있지는 않지만, 일본군 강제 '위안부' 문제의 심각성을 알고, 용기있는 질문을 던진
것입니다.
우선 도발적인 질문이 될 수 있어서 죄송합니다. 하지만 제 가슴에 무겁게 자리한
주제라서 질문을 드려야만 하겠습니다. 여러분은 일본군 '위안부' 문제에 대하여 얼마나
알고 계십니까?
일본은 제2차 세계대전 중, 1930년대 초부터 1945년까지 '군위안소'를 설치하고,
부녀자들을 강제 동원하여 일본군의 '성노예'로 삼았습니다. 일본은 제국주의 야욕을
채우기 위해 전쟁을 벌였고, 이 과정에서 군 병력 성욕구 해소를 위해 서슴없이
인권유린을 저질렀습니다. 각종 국제 협약 및 조약을 어긴 것은 물론, 이후 유엔의 권고
또한 무시하였습니다. 일본 정부는 아직까지도 제대로 사죄와 배상을 하지 않았습니다.
일본군 '위안부' 문제는 크게 3가지의 숙제를 안고 있습니다. 첫째, '인
숙제입니다. 일본 정부의 사죄와 배상을 받아내지 못한다는 것은, 앞으로 인권을
유린하여도 좋다는 의미로 받아들일 수 밖에 없습니다. 여러분의 인권은 소중하지
않습니까? 둘째, '일본의 제국주의에 대한 반성'입니다. 제국주의의 야욕을 채우기
위한 수단 중의 일부로 이루어진 만행이기 때문입니다. 따라서 일본군 '위안부' 문제를
반성하지 않는다는 것은, 제국주의의 야욕과 전쟁의 역사에 대한 반성을 하지 않겠다는
의미입니다. 여러분은 또다시 일본의 제국주의의 야욕을 뻗치는 모습을 보고
싶으십니까? 셋째, ‘과거사 정립’ 입니다. 일본군 '위안부' 만행은 명백한
과거사입니다. 이에 대한 반성과 사죄를 하지 않는 다는 것은, 과거사를 왜곡하겠다는
의도로 해석될 수 밖에 없습니다. 여러분의 과거는, 여러분의 삶은 반드시 똑바로 서야만
할 것입니다. '인권 수호', ‘일본의 제국주의에 대한 반성', '과거사 정립'이라는 3
가지 숙제를 해결하기 위해서, 우리 모두의 삶과 가치관과 연결되는 숙제들을 해결하기소녀와 꽃 그리고 이야기 소개
‘소녀와 꽃 그리고 이야기(이하 소꽃이, Sokkochi)'는 일본군 '위안부'와 근로정신대
피해자 할머니들의 문제해결에 힘을 보태기 위한 프로젝트 팀입니다. '꽃다운
소녀에서부터 시작된 그들의 이야기를 함께 기억하고 나누자'는 의미를 담아 열정적으로
활동하고 있습니다.
소녀
어린 소녀의 나이에 일본군에 의해 끌려가고 상처 입으셨던 할머니들의
상황을 알리고 그 아픔을 공감할 수 있도록 하겠습니다.
꽃
지지 않는 꽃처럼 문제해결을 바라시며 힘내고 계신 할머니들을 위해
희망을 꽃 피울 수 있도록 돕겠습니다.
이야기
할머니들의 이야기를 전달하고, 문제해결을 방해하는 일본 우익들의
행동과 할머니들을 돕고 있는 여러 단체의 이야기를 알리겠습니다.
소꽃이는 서울, 경기, 대전, 충청, 순천, 대구, 울산, 부산, 거제 등의 전국의 고등학생,
대학생 24명으로 이루어져있습니다. 2014년 3월 대구 캠페인을 시작으로, 12월에는 '
나눔의 집'을 방문하는 등 일본군 '위안부' 문제를 알리고 인식을 개선하기 위한 노력을
하고 있습니다.
근로정신대
바로 알기 캠페인
일본군 '위안부' 문제 해결
홍보 캠페인
2014년
캠페인
위브 리퓨어
일본군 '위안부 문제해결을
위한 희망나비 캠페인
부산 위안부 리포터 스텝 참여
Sepagan
경기도 광주 '나눔의집 방문
'일본군 '위안부 홍보 및
피해자 추모비 건립모금
Y HEADE
일본군 '위안부' 문제와 근로정신대 문제를 알리기 위한 캠페인 활동을 했습니다. 지난 해
3월 대구 캠페인을 성공적으로 진행했었고 대전, 울산에서도 캠페인을 진행했습니다.
일본군 '위안부' 문제를 알고 계시는 분들도 많았고, 또 자녀분들과 함께 캠페인에
참여하며 알아가는 모습을 보며 우리 활동이 사람들에게 작은 영향을 미치고 있다는 것을
알 수 있었습니다.
참여활동
일제강점기 강제징용피해
실상 알리기 캠페인
지
대구 시민 걷기 대회 스텝
그리고 일본군 '위안부' 문제와 관련한 다른 단체들의 행사에도 참여했습니다. 지난 해 4
월 부산에서 했던 공연 '위안부 리포터'에서 스텝으로 참여하며 활동을 함께했고, 지난 해
8월에는 대구에서 제 5회 평화와 인권을 위한 대구시민걷기대회에서도 스텝으로
참여했습니다. 특히 대구시민걷기대회에서는 비가 오는 날씨에도 불구하고 많은 분들이
이 문제에 관심을 가지고 자리를 지켰습니다.
'나눔의집' 방문
경기도 광주 '나눔의집 방문
지난 해 말, 소꽃이는 나눔의 집에 직접 방문했습니다. 응원 메세지 내용을 한 글자 씩
시민들이 직접 사진을 찍어주신 것으로 대형 편지를 만들어 전해드렸습니다.
2014년 활동의 결과 총 서명 1,179명, 팔찌 등 물품 판매 기부금 1,660,000원, 모금
75,500원 등의 성과를 거뒀습니다. 앞으로 더 열심히 활동하여 보다 많은 사람들의
관심을 이끌고 참여를 도와서, 빠른 시일 내로 일본군 강제 '위안부' 문제를 해결을 위해
힘을 보태겠습니다.소꽃이의 고민과 바람
우리는 역사 속에 살고 있습니다. 지난 역사를 바탕으로 새 역사를 쓰고 있습니다. 그래서
어떤 역사적 사실이 가지는 문제를 객관적으로 바르게 아는 것은 중요합니다
그 동안 온/오프라인 캠페인을 진행하며 많은 사람들이 일본군 '위안부' 문제를
인식하지만 여러 제약들 때문에 직접 참여할 방법을 찾기 힘들다는 분들이 많았고 잘
몰랐던 사실을 알아가는 분들도 많았습니다.
이 모금은 문제 해결을 위한 참여의 기회가 될 것입니다. 할머니들께 많은 사람들이
응원하며 함께하고 있다는 것을 알릴 수 있습니다. 또 온라인이라는 특성상 오프라인
캠페인/모금 활동보다 더 빠르게 더 많은 사람들에게 일본군 '위안부' 문제에 대해서
관심을 유발하고 심각성을 알릴 수 있습니다.
역사를 올바르게 인식하고 문제 해결을 위한 참여가 확산되어 피해자들의 아픔이 하루
빨리 아물었으면 좋겠습니다. 그리고 인권유린과 전쟁으로 인한 상처가 없는 세상을
향해서 한 보 전진할 수 있기를 기원합니다.모금하신 분들께 작은 선물을 드리겠습니다.
Jum
소꽃이제작 '엽서' 및 '포스트잇’ 그리고 '희움 책갈피'
MOVIA
Dj
사랑해
세요!
wwply
lat
LOVE
Bang!
pag.
꽃다운 소녀에서부터 시작된 그들의 이야기를 함께 기억하고 나누고자 합니다.
잊는다는 것은
잃는다는 것이다"
1,1042,"GUARDIANS
OF THE 24
VIDEO GAMEPATCH
PATCH
C"
2,1077,"Sa
BAMBO
SPECIAL
TODAY
0OPE
LUMPURAR
SHS Leaders Consulte
LEADER
IBA
대산으
MissionS"
3,1080,"오늘도 아이는
하루를 살기위해 숯을 굽습니다
굿네이버스저는 운전기사가 되고 싶어요.
굿네이버스그럴려면 학교도 열심히 다녀야 하고, 공부도 해야하죠.
_& 굿네이버스"
4,115220,"€
CAST
주르댕 / 39기 윤정환
돈은 많은데 신분상승에 대한 갈증으로 어떻
게 해서든 귀족이 되고 싶다. 남몰래 흠모하
는 후작부인 도리멘느에게 어울리는 귀족이
되고 싶다.
주부인 / 40기 우경진
계급에 목숨을 거는 남편을 한심해하지만 또
한편으로는 그런 남편이 짠하다. 하지만 맨
날 귀족같지도 않은 백작 나부랭이 도랑뜨에
게 이용당하는 남편이 답답하다.
뤼씰르&재단사 / 44기 김영은
주르댕의 하나뿐인 외동딸로 자신을 신분상
승의 도구로 사용하려고하는 주르댕이 너무
밉다.
니꼴&음악교사 / 44기 한도희
주르댕의 한심한 귀족놀음에 신물이 난다.
꼴같지도 않은 검술이며 철학공부며 웃음을
참을 수 없는 말도 안 되는 옷꼬라지까지!
끌레옹뜨&검술교사 / 44기 정용재
귀족은 아니지만 군인으로서 한 치의 부끄러
움도 없이 살아온 나 스스로가 자랑스럽다.
뤼씰르에게 걸맞는 최고의 남자가 바로 나
다.
코비엘르 / 44기 최지유
뤼씰르에게 흠뻑 빠진 주인님 끌레옹뜨가 우
습지만 절절한 사랑이 이루어질 수 있게 열
심히 도와야지, 그 전에 귀족놀이에 미친 저
늙은 영감탱이를 어떻게 속여먹지!
도리멘느&무용교사 / 40기 최성은
이혼한 후 사랑을 함부로 믿지 않지만 나만
바라보는 도랑뜨의 끈질긴 구애에 마음이 흔
들린다. 그런데 걸핏하면 추파를 던지는 저
바보같은 부르주아는 뭐지.
도랑뜨&철학교수 / 44기 이영
사랑하는 도리멘느에게 마음을 표현하고 싶
지만 빈털털이 몰락 귀족이라 표현할 수 있
는 방법이 없다. 저 돈만 많은 부르주아의 주
머니를 대신 이용하는 수 밖에!€
뤼씰르
귀족이 되고 싶은 부르주아 주르댕
끌레옹뜨
8월부터 달려온 여정
연습스케치
도랑뜨
****
코비엘르
boobo00
4
FLA
코비엘르
연출님
JSC
니꼴
도리멘느지난 공연들에 대한
쏟아지는 찬사
+ REVIEW
직장인 이ㅇㅇ
아마추어 공연이 맞나요? 프로 배우들이 아니라고 생각할 수 없을 정도로 멋진
공연이었습니다. 지금 당장 대학로로 가도 손색이 없을 정도입니다~!!
디자이너 최ㅇㅇ
함께 일하는 동료가 무대 위에서 연기하는 모습을 보니까 기분이 이상하지만
평소에 보지 못했던 모습을 새롭게 알게 되어서 즐거운 경험이
에요. 열정이 느껴집니다!
회사원 박ㅇㅇ
턱이 아플 정도로 웃고 콧물이 줄줄 날 정도로 울었어요.ㅠㅠ 어떻게 이렇게
사람을 웃고 울릴 수 있죠? 프로 극단도 아닌데! 진짜 저랑 같은 직
장인이라는게 믿기지 않을 정도에요! 다음에 공연한다면 또 보
러 오고싶어요!
ㅇ 직장인 심ㅇㅇ
80분이 어떻게 지나갔는지 모르겠어요. 대학로에서 본 연극보다도 재
밌고 만족스러웠어요!
ㅇ 회사원 정 ㅇㅇ
직장동료의 초청으로 공연을 보러왔는데 정말 기대이상이네요. 옆에 앉
아있는 동료가 더 대단하게 보여요. 회사에서도 맨날 대본 보면서 중
얼거리는게 맨날 뭘 하나 했는데 이런 엄청난 것들을 하고 있었
네요.ㅎㅎ
직장인 김ㅇㅇ
대단하다! 이 말 밖에 못 하겠어요. 아마추어 공연이라고해서 사실 별 기대 안
했는데 오늘부터 팬 됐어요!! 최고!!!E
알고 보면 더 재밌는
관람꿀팁
관람 전에 꼭 기억하세요!
HOW TO ENJOY
극단 아해의 제 79번째 공연 귀족수업을 더 즐겁게
즐기기 위해 꼭 알아두면 좋을내용들을 미리 공개합니다.
귀족수업의 시대적 배경
귀족수업의 시대적 배경은 17세기
프랑스입니다. 우리에게 익숙한 루
이 14세의 시대입니다. 바로크 예술
과 고전주의가 성행하던 시기로 대
표적인 건축물로는 베르사유 궁전
이 있습니다.
귀족수업의 무대미술
귀족수업의 무대는 관객석을 중심으로총 두 부분으로 나뉘어집니다.
공연 중에 각각의 공간을 주로 활용하는 배역들을 눈여겨 보세요!
무대를 가득 채우고 있는 넝마들은 부와 재산, 그리고 주르댕이 끊임없이
좇고 있는 귀족세계의 부질없는 허세와 허상을 상징합니다. 공연을 보면
서 주르댕이 갖고자 하는 것, 마침내 갖게 된 것들이 결국 어떤 의미인지
생각해보세요.
서민공간
루이 14세
관객석
귀족공간연출의 한 마디
안녕하세요, 극단 아해 제 79회 공연 '귀족수업'에 먼저 저희 공연에 관심
가져주시는 서포터님들께 감사 인사를 드립니다.
몰리에르가 귀족수업을 쓰던 17세기 프랑스는 돈이 곧 권력이었던 시대
였습니다. 어떤 귀족은 방탕한 생활 끝에 몰락하였고, 어떤 서민은 부를 쌓
아 관직을 사기도 하였습니다. 그리고 당시 부를 쌓은 서민, 즉 부르주아
는 많은 이들이 노예무역에 종사했습니다.
30년 전쟁 종료 후, 가장 호혜를 입은 나라. 한 때 국부의 60%를 설탕 무
역 (아프리카 노예를 통해)으로 쌓아올리기도 했던 나라가 바로 프랑스였
습니다.
종종 '천민자본주의'라는 말을 뉴스나 인터넷을 통해 볼 때가 있습니다. 수
단 상관 없이, 부의 축척이 최우선의 가치라 생각한다는 거죠. 저는 그러한
현재의 천민자본주의, 과거 부의축적에서 보여지는 도덕적해이가 유사한
점이 있다고 생각했습니다.
이에, 폐품이나 넝마들을 주워 생활을 연명하는 ""넝마주이""를 컨셉으로 잡
고, 주르댕이 쌓는 모든 부를 넝마와 쓰레기들로 (하수: 무대 왼쪽/ 서민공
간), 귀족들이 자신의 권위를 높이기 위한 옷을 여러겹의 넝마로 표현했습
니다. (상수: 무대 오른쪽/ 귀족공간) 서민들과 귀족들의 출입문 또한 각각
그에 맞춰서 나눴습니다.
주르댕이 귀족수업을 받으며 어떤 외형으로 변화해 가는지를 관찰해보시
는 것도 본 연극의 작은 재미가 아닐까 싶습니다.
호평 뿐만 아니라 혹평까지도. 관객분이 오셔서 느끼시는 모든 게 정답이
라 생각합니다.
객석에서 공연을 빛내주시는 관객분들께 다시금 감사드리며, 이 공연에서
작은 '재미'를 느끼고 가셨다면, 저희로서는 최고의 찬사이자 보람이겠습
니다.
직장인 극단 협의회 내에
8개의 극단 중
하나입니다.
1997년 설립된 직장인 연극단체 협의회는 여러
직장인 극단들이 함께 모여 근로자연극제 및 연
합공연, 창작 및 예술활동과 관련한 아카데미 등
다양한 활동들을 해오고 있습니다.
극단
놀이터
+.
극단
틈새
극단
함바꿈
극단
아해
극단
좋은
사람들
각 극단들마다 정기적으로 신입단원들을 모집하고 있습니다.
연극 공연과 무대에 관심이 있으시다면 직연협 극단들의 이름
을 눈여겨 보셨다가 신입단원 모집 때 지원해보세요.
참고로 극단 아해는 매년 초 신입단원을 모집하고 있습니다.
극단
페르
소나
아해의 문은 언제나 활짝 열려있습니다!!
""
그 중에서도 왜
+ 아해여야할까요? +
모든 극단들이 훌륭하지만
극단 아해는 직연협에 속한 극단들 중에서도
단연 실력파들만 모여있는 최고의 극단입니다.
Since 1978
극단 아해
극단
일상
탈출
연극패
청년
지난 4년간 만들어온
어마어마한 수상 기록
근로문화예술제 10회 대상, 여자최우수연기상
근로문화예술제 11회 동상
근
근로문화예술제 14회 초청공연 수상
근로문화예술제 16회 은상
근로문화예술제 18회 동상
근로문화예술제 20회 대통령상
근로문화
예
술
22
제
은상, 연기상
회
근로문화예술제 23
동상, 연기상
회
13회 대상, 특별상
로문화예술제
근로문화예술제 24회 은상
근로문화예술제 25회 동상, 최우수연기상
근로문화예술제 26
금상,
회
최우수연기상
근로문
화
예술제
2
7
은상
회
근로문화예술제 28
동상
회
근로문화예술
29회 대상
제
근로문화예
술
3
제
0
대상
회
근로문화예술제 31회 은상, 우수연기상
근
로
극단 아해는 아
과 노 력 만
실
력
32회 대상, 연기상
문화예술제
근
로문화예
술
33회
제
대상
근로문화예술제 36회 동상
근로문화예술
37회
제
대통령상
근로문화예술제 40회 대상
큼
극단이지만
마추어
은
자
부
합
니다.1
2
3
4
극단 아해가 열심히 준비한
79번째 공연을 소개합니다.
이번 펀딩 서포터님들을 위한
+ 스페셜 리워드
10월 15일 16시
자유좌석제 - 현장 선착순으로 배정
펀딩특전 - 배우들과의 기념사진 포함
10,000원
10월 15일 19시
자유좌석제-현장 선착순으로 배정
펀딩특전-배우들과의 기념사진 포함
10,000원
10월 16일 15시
자유좌석제 - 현장 선착순으로 배정
펀딩특전 – 배우들과의 기념사진 포함
10,000원
10월 16일 18시
자유좌석제 - 현장 선착순으로 배정
펀딩특전-배우들과의 기념사진 포함
10,000원
귀족수업
귀족수업
귀족수업
귀족수업오퍼룸
12 | 1110 9
14 13 12 11 10
14 13 12 11 10
14
13 12 11
16 15 14
13 12 11 10
극장 정보
드림시어터 소극장
서울특별시 종로구 대학로10길 15-11 지하1층
9
10 9
16 15 14 13 12 11 10
16 15 14 13 12 11 10
9
16 15 14 13 12 11 10 9
대상
방법
a
혜택
7 6 5 4 3 2
8 7 6 5 4 3 2
8
7
8 7
8 7
00
00 00 00
7
8 7
8
7
무대
6266
10 10 10 10 10 10 10
6 5
6
6
5
기간 2022년 10월 01일 ~ 02일
5
4
4
4
4
5 4
3-3-3-3-3-3-3
NNNNNN
3 2 1 G
3 2
귀족수업의 배우가 되어보세요
21F
펀딩참여 서포터님들을 위한
특별한 특전
좌선 선택 방법
공연 좌석은 지정좌석제가 아니라 선착순으로 현장에서 배정됩니다.
2 1 E
1
1
|
I
3 2 1 B
3 2 1 A
펀딩에 참여 후 공연을 관람하려 오시는 서포터님들
입장 시 모바일 티켓 인증 및 공연 끝난 후
진행요원의 안내에 따라 대기해주세요.
공연이 끝난 후 원하시는 배우와 무대 위에서
멋진 사진을 남기실 수 있는 추억을 선물해드립니다.
EDC BA"
5,1223,"작년 이맘 때 '영웅' 이었던
분, 기억하세요?
A
.
2
.
0
이
19
OF A
1
12
ACT
4
이
이분,
6
0
43
659
689
201
w
65
• 0 • B
ㅇ ㄹ
B
S
59
WELLMADE
A
80 *
69
2015
OR
셜
:88:
12
G
TB) 주류
년
Ba
&
39
5
.
.
①99
0
30AD
이달 3일 경기 고양시 국립암센터,
화학치료 탓에 머리가 빠진 김홍경(59)씨가
아내의 간호를 받고 있습니다.작년 4월 16일. 세월호가 급격히 기울기
시작했을 때, 꼭대기 층에 있었던 그는
가장 먼저 탈출할 수도 있었습니다CARD
NEWS
조선일보
하지만 객실 안쪽으로 향했죠.
'소방 호스를 '로프'처럼 던져
학생 20여명을 끌어올렸습니다.
KORI
MUNSTY참사 후, 김씨는 몇 달간 불면증에
시달리다 작년 12월 말 위암 4기
판정을 받고 외롭게 투병 중입니다.3g
배관 기술자인 김씨.
전 재산인 승합차와 설비가 세월호와 함께
가라앉았지만 배상금은 겨우 530만원.
이마저도 아직 못받았습니다.""뭘 바라고 아이들 구한 건 아니에요.""
치료비로만 1500만원을 빚진 김씨.
하지만 금전 보상보다 서운한 건,
단원고 학생가족회로부터
연락 한번 받지 못했다는 것.
세월호 사고 희생자들이여
통한의 바다를 떠나
편히 잠드소서...
안산시민 일동한국에선 세월호를
둘러싼 정쟁(政爭)에
이들의 이름은 묻혀버렸죠.【观
发"
6,1249,"멋진남
우리가 해석하거나 400만원을 후원해 드리는건 어떨
까요?
2015-05-31 18:25 신고
답글(1)
딸기우유
펀딩해서 출간하면 안돼나요 ㅜㅜ
2015-06-02 09:42 신고
답글
30
12
0
0
will ****
계좌번호 공개해라. 반드시 해야 하는 일에다가 쓴다
면 커피 한 잔 값 정도야 못 보내줄 정도는 아니다.
2015-05-31 21:42 신고
답글
13
0
blue****
소셜펀딩같은걸로 국민들이 후원하도록 해주세요 안
이한 정부만믿어서 위안부할머니들 돕긴어려울꺼같습
니다
2015-06-01 18:46 신고
답글
12
0"
7,1363,"프롤로그. 시작
빠진만큼 채운다.
그만 좀
먹어
소망·사랑이 있는 병원性病院)
박병열은
결혼 3년차 입니다.
누구나 그렇듯 별일 없이 알콩달콩 살고 있습니다.
3년차이니만큼 2세 계획에 충실하고 있었는데 자연임신이 계속 실패해서
병원을 찾아갔어요.
병원
그래서, 시작합니다.
고기 먹자!
으헤헤!
정진주 불족
저자수 부족
""...아마 일시적일 수 있습니다. 앞으로 술,담배 줄이시고
운동을 좀 하시면 좋아질 것입니다.
99
CAS
8월4일부터 60일간(10월2일) 목표체중 15KG 감량에
도전합니다.
그냥 살만 빼기보다는 의미있는 일을 하고 싶었습니다.
고민끝에 크라우드펀딩 - 와디즈에서 개인 모금을
대한민국 펀딩포털.
시작합니다.
WADIZ
1화 예
검사결과가..!!
목표금액 150만원이 채워진다면
NOG단체인 글로벌호프의 “미얀마 IT교육프로젝트”에 전액
기부됩니다.
제가 살을 빼는 만큼 아이들에게 많은 것들이 채워지길
바라는 마음에서 시작합니다.
JUSGE
고
저를 응원해주셔도 좋고, 미얀마의 아이들을 생각하셔서
기부에 동참해주셔도 좋습니다.
감사하게도, 남은 60일동안 제가 다이어트를 하는
모습을 ""상상터""라는 곳에서 포토툰으로 제작해주기로
했습니다.
""상상태""라는 곳도 누군가의 꿈이 실현되기를 바라는
마음으로 시작된 대학생주축의 극단입니다.
다이어트 과정을 즐기시면서, 네팔의 아이들에게
많은 것들을 채울 수 있는 시간 되길 바랍니다.
일단 다이어트 전의 모습부터 볼까요?
자고
숨
몸무게에 충격을 받은 박병열..
의
지
를
불
태
우지만..
너! 뭐 먹는거야!!
담당 선생님
""O
사진 찍어보니.... 헐...OTL
걱정 반
기
,
반
대
마음으로
한
나서!!
ㅇㅇ
이제 고기는
못 먹나..
술,담배
안하는데
졸려..
with 상상터
2015.8.4
몸무
Co
온누리약국
요 배를 우얄꼬..
게
회사 근처의 헬스장으로 출발!
1화에 공개할께요!
는
ㅜㅜ
ㄱ
CENTRALGYM
운동시작!
To BE Continued...
헉.. 내 몸무게가 이럴줄이야.."
8,141998,
9,1437,
